個案研判日,縣市別,區域,新增確診人數,累計確診人數
2023-03-05,台中市,全區,844,1237145
2023-03-05,台北市,全區,602,1001606
2023-03-05,台南市,全區,568,723368
2023-03-05,台東縣,全區,44,79602
2023-03-05,嘉義市,全區,72,96981
2023-03-05,嘉義縣,全區,99,151310
2023-03-05,基隆市,全區,131,181322
2023-03-05,境外移入,全區,114,56319
2023-03-05,宜蘭縣,全區,137,195944
2023-03-05,屏東縣,全區,205,277886
2023-03-05,彰化縣,全區,323,475906
2023-03-05,新北市,全區,1321,2083084
2023-03-05,新竹市,全區,188,226519
2023-03-05,新竹縣,全區,224,281926
2023-03-05,桃園市,全區,807,1108925
2023-03-05,澎湖縣,全區,19,27856
2023-03-05,花蓮縣,全區,65,146478
2023-03-05,苗栗縣,全區,135,227813
2023-03-05,連江縣,全區,1,4050
2023-03-05,金門縣,全區,31,26573
2023-03-05,雲林縣,全區,133,206801
2023-03-05,高雄市,全區,882,1131169
2023-03-04,南投縣,全區,156,163198
2023-03-04,台中市,全區,1197,1236301
2023-03-04,台北市,全區,798,1001004
2023-03-04,台南市,全區,897,722800
2023-03-04,台東縣,全區,61,79558
2023-03-04,嘉義市,全區,124,96909
2023-03-04,嘉義縣,全區,150,151211
2023-03-04,基隆市,全區,197,181191
2023-03-04,境外移入,全區,169,56205
2023-03-04,宜蘭縣,全區,280,195807
2023-03-04,屏東縣,全區,252,277681
2023-03-04,彰化縣,全區,413,475583
2023-03-04,新北市,全區,1880,2081763
2023-03-04,新竹市,全區,256,226331
2023-03-04,新竹縣,全區,289,281702
2023-03-04,桃園市,全區,1240,1108118
2023-03-04,澎湖縣,全區,23,27837
2023-03-04,花蓮縣,全區,106,146413
2023-03-04,苗栗縣,全區,246,227678
2023-03-04,連江縣,全區,1,4049
2023-03-04,金門縣,全區,35,26542
2023-03-04,雲林縣,全區,223,206668
2023-03-04,高雄市,全區,1310,1130287
2023-03-03,南投縣,全區,177,163042
2023-03-03,台中市,全區,1406,1235104
2023-03-03,台北市,全區,917,1000206
2023-03-03,台南市,全區,1028,721903
2023-03-03,台東縣,全區,63,79497
2023-03-03,嘉義市,全區,101,96785
2023-03-03,嘉義縣,全區,181,151061
2023-03-03,基隆市,全區,194,180994
2023-03-03,境外移入,全區,192,56036
2023-03-03,宜蘭縣,全區,248,195527
2023-03-03,屏東縣,全區,304,277429
2023-03-03,彰化縣,全區,486,475170
